,Price1,Date_time,Open,Prev_close,Day_high,Day_low,Change1
1,"1,182.00","Nov 22,2021 10:37 AM","1,188.10","1,186.60","1,196.80","1,166.00",-4.6
1,"1,181.40","Nov 22,2021 10:38 AM","1,188.10","1,186.60","1,196.80","1,166.00",-5.2
1,"1,181.40","Nov 22,2021 10:38 AM","1,188.10","1,186.60","1,196.80","1,166.00",-5.2
1,"1,180.35","Nov 22,2021 10:38 AM","1,188.10","1,186.60","1,196.80","1,166.00",-6.25
1,"1,178.95","Nov 22,2021 10:39 AM","1,188.10","1,186.60","1,196.80","1,166.00",-7.65
1,"1,178.55","Nov 22,2021 10:39 AM","1,188.10","1,186.60","1,196.80","1,166.00",-8.05
1,"1,179.45","Nov 22,2021 10:39 AM","1,188.10","1,186.60","1,196.80","1,166.00",-7.15
1,"1,179.40","Nov 22,2021 10:40 AM","1,188.10","1,186.60","1,196.80","1,166.00",-7.2
1,"1,179.30","Nov 22,2021 10:40 AM","1,188.10","1,186.60","1,196.80","1,166.00",-7.3
1,"1,179.90","Nov 22,2021 10:40 AM","1,188.10","1,186.60","1,196.80","1,166.00",-6.7
1,"1,178.30","Nov 22,2021 10:41 AM","1,188.10","1,186.60","1,196.80","1,166.00",-8.3
1,"1,178.00","Nov 22,2021 10:41 AM","1,188.10","1,186.60","1,196.80","1,166.00",-8.6
1,"1,178.00","Nov 22,2021 10:42 AM","1,188.10","1,186.60","1,196.80","1,166.00",-8.6
1,"1,178.00","Nov 22,2021 10:42 AM","1,188.10","1,186.60","1,196.80","1,166.00",-8.6
1,"1,177.30","Nov 22,2021 10:43 AM","1,188.10","1,186.60","1,196.80","1,166.00",-9.3
1,"1,178.50","Nov 22,2021 10:43 AM","1,188.10","1,186.60","1,196.80","1,166.00",-8.1
1,"1,180.00","Nov 22,2021 10:44 AM","1,188.10","1,186.60","1,196.80","1,166.00",-6.6
1,"1,184.00","Nov 22,2021 10:45 AM","1,188.10","1,186.60","1,196.80","1,166.00",-2.6
1,"1,185.15","Nov 22,2021 10:46 AM","1,188.10","1,186.60","1,196.80","1,166.00",-1.45
1,"1,182.95","Nov 22,2021 10:47 AM","1,188.10","1,186.60","1,196.80","1,166.00",-3.65
1,"1,183.65","Nov 22,2021 10:48 AM","1,188.10","1,186.60","1,196.80","1,166.00",-2.95
1,"1,182.00","Nov 22,2021 10:49 AM","1,188.10","1,186.60","1,196.80","1,166.00",-4.6
1,"1,182.80","Nov 22,2021 10:50 AM","1,188.10","1,186.60","1,196.80","1,166.00",-3.8
1,"1,182.05","Nov 22,2021 11:22 AM","1,188.10","1,186.60","1,196.80","1,166.00",-4.55
1,"1,182.70","Nov 22,2021 11:22 AM","1,188.10","1,186.60","1,196.80","1,166.00",-3.9
1,"1,181.10","Nov 22,2021 11:23 AM","1,188.10","1,186.60","1,196.80","1,166.00",-5.5
1,"1,181.05","Nov 22,2021 11:23 AM","1,188.10","1,186.60","1,196.80","1,166.00",-5.55
1,"1,180.85","Nov 22,2021 11:24 AM","1,188.10","1,186.60","1,196.80","1,166.00",-5.75
1,"1,181.00","Nov 22,2021 11:24 AM","1,188.10","1,186.60","1,196.80","1,166.00",-5.6
1,"1,182.10","Nov 22,2021 11:25 AM","1,188.10","1,186.60","1,196.80","1,166.00",-4.5
1,"1,182.50","Nov 22,2021 11:25 AM","1,188.10","1,186.60","1,196.80","1,166.00",-4.1
1,"1,182.00","Nov 22,2021 11:26 AM","1,188.10","1,186.60","1,196.80","1,166.00",-4.6
1,"1,182.10","Nov 22,2021 11:26 AM","1,188.10","1,186.60","1,196.80","1,166.00",-4.5
1,"1,182.10","Nov 22,2021 11:27 AM","1,188.10","1,186.60","1,196.80","1,166.00",-4.5
1,"1,182.25","Nov 22,2021 11:27 AM","1,188.10","1,186.60","1,196.80","1,166.00",-4.35
1,"1,183.00","Nov 22,2021 11:28 AM","1,188.10","1,186.60","1,196.80","1,166.00",-3.6
1,"1,183.05","Nov 22,2021 11:28 AM","1,188.10","1,186.60","1,196.80","1,166.00",-3.55
1,"1,182.45","Nov 22,2021 11:29 AM","1,188.10","1,186.60","1,196.80","1,166.00",-4.15
1,"1,182.00","Nov 22,2021 11:29 AM","1,188.10","1,186.60","1,196.80","1,166.00",-4.6
1,"1,181.80","Nov 22,2021 11:30 AM","1,188.10","1,186.60","1,196.80","1,166.00",-4.8
1,"1,182.00","Nov 22,2021 11:30 AM","1,188.10","1,186.60","1,196.80","1,166.00",-4.6
1,"1,182.45","Nov 22,2021 11:31 AM","1,188.10","1,186.60","1,196.80","1,166.00",-4.15
1,"1,181.60","Nov 22,2021 11:31 AM","1,188.10","1,186.60","1,196.80","1,166.00",-5
1,"1,180.80","Nov 22,2021 11:32 AM","1,188.10","1,186.60","1,196.80","1,166.00",-5.8
1,"1,181.00","Nov 22,2021 11:32 AM","1,188.10","1,186.60","1,196.80","1,166.00",-5.6
1,"1,179.60","Nov 22,2021 11:33 AM","1,188.10","1,186.60","1,196.80","1,166.00",-7
1,"1,179.15","Nov 22,2021 11:34 AM","1,188.10","1,186.60","1,196.80","1,166.00",-7.45
1,"1,178.45","Nov 22,2021 11:34 AM","1,188.10","1,186.60","1,196.80","1,166.00",-8.15
1,"1,178.30","Nov 22,2021 11:35 AM","1,188.10","1,186.60","1,196.80","1,166.00",-8.3
1,"1,178.05","Nov 22,2021 11:35 AM","1,188.10","1,186.60","1,196.80","1,166.00",-8.55
1,"1,178.05","Nov 22,2021 11:36 AM","1,188.10","1,186.60","1,196.80","1,166.00",-8.55
1,"1,178.00","Nov 22,2021 11:36 AM","1,188.10","1,186.60","1,196.80","1,166.00",-8.6
1,"1,177.60","Nov 22,2021 11:37 AM","1,188.10","1,186.60","1,196.80","1,166.00",-9
1,"1,176.60","Nov 22,2021 11:37 AM","1,188.10","1,186.60","1,196.80","1,166.00",-10
