lat,lon,timezone,timezone_offset,current.dt,current.sunrise,current.sunset,current.temp,current.feels_like,current.pressure,current.humidity,current.dew_point,current.uvi,current.clouds,current.visibility,current.wind_speed,current.wind_deg,current.weather.id,current.weather.main,current.weather.description,current.weather.icon,minutely.dt,minutely.precipitation
17.38,78.48,Asia/Kolkata,19800,1636964229,1636937466,1636978226,300.41,302.85,1010,74,295.37,6.22,75,5000,2.57,90,721,Haze,haze,50d,1636967400,0
17.38,78.48,Asia/Kolkata,19800,1636964229,1636937466,1636978226,300.41,302.85,1010,74,295.37,6.22,75,5000,2.57,90,721,Haze,haze,50d,1636967460,0
17.38,78.48,Asia/Kolkata,19800,1636964229,1636937466,1636978226,300.41,302.85,1010,74,295.37,6.22,75,5000,2.57,90,721,Haze,haze,50d,1636967520,0
17.38,78.48,Asia/Kolkata,19800,1636964229,1636937466,1636978226,300.41,302.85,1010,74,295.37,6.22,75,5000,2.57,90,721,Haze,haze,50d,1636967580,0
17.38,78.48,Asia/Kolkata,19800,1636964229,1636937466,1636978226,300.41,302.85,1010,74,295.37,6.22,75,5000,2.57,90,721,Haze,haze,50d,1636967640,0
17.38,78.48,Asia/Kolkata,19800,1636964229,1636937466,1636978226,300.41,302.85,1010,74,295.37,6.22,75,5000,2.57,90,721,Haze,haze,50d,1636967700,0
17.38,78.48,Asia/Kolkata,19800,1636964229,1636937466,1636978226,300.41,302.85,1010,74,295.37,6.22,75,5000,2.57,90,721,Haze,haze,50d,1636967760,0
17.38,78.48,Asia/Kolkata,19800,1636964229,1636937466,1636978226,300.41,302.85,1010,74,295.37,6.22,75,5000,2.57,90,721,Haze,haze,50d,1636967820,0
17.38,78.48,Asia/Kolkata,19800,1636964229,1636937466,1636978226,300.41,302.85,1010,74,295.37,6.22,75,5000,2.57,90,721,Haze,haze,50d,1636967880,0
17.38,78.48,Asia/Kolkata,19800,1636967711,1636937466,1636978226,300.41,302.85,1010,74,295.37,4.33,75,5000,2.57,90,721,Haze,haze,50d,1636967760,0
17.38,78.48,Asia/Kolkata,19800,1636967711,1636937466,1636978226,300.41,302.85,1010,74,295.37,4.33,75,5000,2.57,90,721,Haze,haze,50d,1636967820,0
17.38,78.48,Asia/Kolkata,19800,1636967711,1636937466,1636978226,300.41,302.85,1010,74,295.37,4.33,75,5000,2.57,90,721,Haze,haze,50d,1636967880,0
17.38,78.48,Asia/Kolkata,19800,1636967711,1636937466,1636978226,300.41,302.85,1010,74,295.37,4.33,75,5000,2.57,90,721,Haze,haze,50d,1636967940,0
17.38,78.48,Asia/Kolkata,19800,1636967711,1636937466,1636978226,300.41,302.85,1010,74,295.37,4.33,75,5000,2.57,90,721,Haze,haze,50d,1636968000,0
17.38,78.48,Asia/Kolkata,19800,1636967711,1636937466,1636978226,300.41,302.85,1010,74,295.37,4.33,75,5000,2.57,90,721,Haze,haze,50d,1636968060,0
17.38,78.48,Asia/Kolkata,19800,1636967711,1636937466,1636978226,300.41,302.85,1010,74,295.37,4.33,75,5000,2.57,90,721,Haze,haze,50d,1636968120,0
17.38,78.48,Asia/Kolkata,19800,1636967711,1636937466,1636978226,300.41,302.85,1010,74,295.37,4.33,75,5000,2.57,90,721,Haze,haze,50d,1636968180,0
17.38,78.48,Asia/Kolkata,19800,1636967711,1636937466,1636978226,300.41,302.85,1010,74,295.37,4.33,75,5000,2.57,90,721,Haze,haze,50d,1636968240,0
17.38,78.48,Asia/Kolkata,19800,1636967711,1636937466,1636978226,300.41,302.85,1010,74,295.37,4.33,75,5000,2.57,90,721,Haze,haze,50d,1636968300,0
17.38,78.48,Asia/Kolkata,19800,1636967711,1636937466,1636978226,300.41,302.85,1010,74,295.37,4.33,75,5000,2.57,90,721,Haze,haze,50d,1636968360,0
17.38,78.48,Asia/Kolkata,19800,1636967711,1636937466,1636978226,300.41,302.85,1010,74,295.37,4.33,75,5000,2.57,90,721,Haze,haze,50d,1636968420,0
