Date,time,close,open,price,volume,valueChange,percentageChange,nifty50
22-11-2021,14:44:04,77464.75,77842,75353.25,13428,-2488.75,-3.19718147,17351.5
22-11-2021,14:45:04,77464.75,77842,75355.95,13441,-2486.05,-3.193712906,17352.4
22-11-2021,14:46:04,77464.75,77842,75455.15,13487,-2386.85,-3.066275276,17363.7
22-11-2021,14:47:04,77464.75,77842,75297.85,13583,-2544.15,-3.268351276,17352.35
22-11-2021,14:48:04,77464.75,77842,75350,13605,-2492,-3.201356594,17340.4
22-11-2021,14:49:04,77464.75,77842,75310.05,13616,-2531.95,-3.252678503,17348.65
22-11-2021,14:50:04,77464.75,77842,75260,13651,-2582,-3.316975412,17350.25
22-11-2021,14:51:04,77464.75,77842,75322.3,13663,-2519.7,-3.236941497,17361.25
22-11-2021,14:52:04,77464.75,77842,75399.35,13678,-2442.65,-3.137958942,17364.45
22-11-2021,14:53:04,77464.75,77842,75397.35,13692,-2444.65,-3.14052825,17367
22-11-2021,14:54:05,77464.75,77842,75397.3,13698,-2444.7,-3.140592482,17362.45
22-11-2021,14:55:04,77464.75,77842,75357.95,13714,-2484.05,-3.191143599,17363.3
22-11-2021,14:56:04,77464.75,77842,75393.75,13731,-2448.25,-3.145153002,17370.25
22-11-2021,14:57:05,77464.75,77842,75390,13737,-2452,-3.149970453,17363.35
22-11-2021,14:58:04,77464.75,77842,75327.4,13775,-2514.6,-3.230389764,17365.5
22-11-2021,14:59:04,77464.75,77842,75340.35,13791,-2501.65,-3.213753501,17372.9
22-11-2021,15:00:04,77464.75,77842,75342.8,13823,-2499.2,-3.2106061,17369.9
22-11-2021,15:01:05,77464.75,77842,75343.05,13880,-2498.95,-3.210284936,17374.95
22-11-2021,15:02:04,77464.75,77842,75400.75,13922,-2441.25,-3.136160428,17376.65
22-11-2021,15:04:00,77464.75,77842,75354.9,13949,-2487.1,-3.195061792,17392.3
22-11-2021,15:05:05,77464.75,77842,75423.9,14019,-2418.1,-3.106420698,17383.4
