"","lat","lon","timezone","timezone_offset","current.dt","current.sunrise","current.sunset","current.temp","current.feels_like","current.pressure","current.humidity","current.dew_point","current.uvi","current.clouds","current.visibility","current.wind_speed","current.wind_deg","current.wind_gust","current.weather.id","current.weather.main","current.weather.description","current.weather.icon","minutely.dt","minutely.precipitation"
"54",11.25,75.78,"Asia/Kolkata",19800,1636563354,1636505481,1636547419,300.71,304.18,1009,80,296.95,0,100,10000,1.61,20,1.87,804,"Clouds","overcast clouds","04n",1636566540,0
"55",11.25,75.78,"Asia/Kolkata",19800,1636563354,1636505481,1636547419,300.71,304.18,1009,80,296.95,0,100,10000,1.61,20,1.87,804,"Clouds","overcast clouds","04n",1636566600,0
"56",11.25,75.78,"Asia/Kolkata",19800,1636563354,1636505481,1636547419,300.71,304.18,1009,80,296.95,0,100,10000,1.61,20,1.87,804,"Clouds","overcast clouds","04n",1636566660,0
"57",11.25,75.78,"Asia/Kolkata",19800,1636563354,1636505481,1636547419,300.71,304.18,1009,80,296.95,0,100,10000,1.61,20,1.87,804,"Clouds","overcast clouds","04n",1636566720,0
"58",11.25,75.78,"Asia/Kolkata",19800,1636563354,1636505481,1636547419,300.71,304.18,1009,80,296.95,0,100,10000,1.61,20,1.87,804,"Clouds","overcast clouds","04n",1636566780,0
"59",11.25,75.78,"Asia/Kolkata",19800,1636563354,1636505481,1636547419,300.71,304.18,1009,80,296.95,0,100,10000,1.61,20,1.87,804,"Clouds","overcast clouds","04n",1636566840,0
"60",11.25,75.78,"Asia/Kolkata",19800,1636563354,1636505481,1636547419,300.71,304.18,1009,80,296.95,0,100,10000,1.61,20,1.87,804,"Clouds","overcast clouds","04n",1636566900,0
"61",11.25,75.78,"Asia/Kolkata",19800,1636563354,1636505481,1636547419,300.71,304.18,1009,80,296.95,0,100,10000,1.61,20,1.87,804,"Clouds","overcast clouds","04n",1636566960,0
"62",11.25,75.78,"Asia/Kolkata",19800,1636565527,1636505481,1636547419,300.71,304.3,1008,81,297.15,0,100,10000,1.83,38,1.98,804,"Clouds","overcast clouds","04n",1636565580,0
"63",11.25,75.78,"Asia/Kolkata",19800,1636565527,1636505481,1636547419,300.71,304.3,1008,81,297.15,0,100,10000,1.83,38,1.98,804,"Clouds","overcast clouds","04n",1636565640,0
"64",11.25,75.78,"Asia/Kolkata",19800,1636565527,1636505481,1636547419,300.71,304.3,1008,81,297.15,0,100,10000,1.83,38,1.98,804,"Clouds","overcast clouds","04n",1636565700,0
"65",11.25,75.78,"Asia/Kolkata",19800,1636565527,1636505481,1636547419,300.71,304.3,1008,81,297.15,0,100,10000,1.83,38,1.98,804,"Clouds","overcast clouds","04n",1636565760,0
"66",11.25,75.78,"Asia/Kolkata",19800,1636565527,1636505481,1636547419,300.71,304.3,1008,81,297.15,0,100,10000,1.83,38,1.98,804,"Clouds","overcast clouds","04n",1636565820,0
"67",11.25,75.78,"Asia/Kolkata",19800,1636565527,1636505481,1636547419,300.71,304.3,1008,81,297.15,0,100,10000,1.83,38,1.98,804,"Clouds","overcast clouds","04n",1636565880,0
"68",11.25,75.78,"Asia/Kolkata",19800,1636565527,1636505481,1636547419,300.71,304.3,1008,81,297.15,0,100,10000,1.83,38,1.98,804,"Clouds","overcast clouds","04n",1636565940,0
"69",11.25,75.78,"Asia/Kolkata",19800,1636565527,1636505481,1636547419,300.71,304.3,1008,81,297.15,0,100,10000,1.83,38,1.98,804,"Clouds","overcast clouds","04n",1636566000,0
"70",11.25,75.78,"Asia/Kolkata",19800,1636565527,1636505481,1636547419,300.71,304.3,1008,81,297.15,0,100,10000,1.83,38,1.98,804,"Clouds","overcast clouds","04n",1636566060,0
"71",11.25,75.78,"Asia/Kolkata",19800,1636565527,1636505481,1636547419,300.71,304.3,1008,81,297.15,0,100,10000,1.83,38,1.98,804,"Clouds","overcast clouds","04n",1636566120,0
"72",11.25,75.78,"Asia/Kolkata",19800,1636565527,1636505481,1636547419,300.71,304.3,1008,81,297.15,0,100,10000,1.83,38,1.98,804,"Clouds","overcast clouds","04n",1636566180,0
"73",11.25,75.78,"Asia/Kolkata",19800,1636565527,1636505481,1636547419,300.71,304.3,1008,81,297.15,0,100,10000,1.83,38,1.98,804,"Clouds","overcast clouds","04n",1636566240,0
"74",11.25,75.78,"Asia/Kolkata",19800,1636565527,1636505481,1636547419,300.71,304.3,1008,81,297.15,0,100,10000,1.83,38,1.98,804,"Clouds","overcast clouds","04n",1636566300,0
"75",11.25,75.78,"Asia/Kolkata",19800,1636565527,1636505481,1636547419,300.71,304.3,1008,81,297.15,0,100,10000,1.83,38,1.98,804,"Clouds","overcast clouds","04n",1636566360,0
"76",11.25,75.78,"Asia/Kolkata",19800,1636565527,1636505481,1636547419,300.71,304.3,1008,81,297.15,0,100,10000,1.83,38,1.98,804,"Clouds","overcast clouds","04n",1636566420,0
"77",11.25,75.78,"Asia/Kolkata",19800,1636565527,1636505481,1636547419,300.71,304.3,1008,81,297.15,0,100,10000,1.83,38,1.98,804,"Clouds","overcast clouds","04n",1636566480,0
"78",11.25,75.78,"Asia/Kolkata",19800,1636565527,1636505481,1636547419,300.71,304.3,1008,81,297.15,0,100,10000,1.83,38,1.98,804,"Clouds","overcast clouds","04n",1636566540,0
