temp,feels_like,temp_min,temp_max,pressure,humidity,Date and Time
299.38,299.38,299.38,300.88,1010,78,16-11-2021 17:14
299.38,299.38,299.38,300.88,1010,78,16-11-2021 17:17
299.38,299.38,299.38,300.88,1010,78,16-11-2021 17:20
298.38,299.13,298.38,299.88,1010,83,16-11-2021 17:23
298.38,299.13,298.38,299.88,1010,83,16-11-2021 17:26
298.38,299.13,298.38,299.88,1010,83,16-11-2021 17:29
298.38,299.13,298.38,299.88,1010,83,16-11-2021 17:32
298.38,299.13,298.38,299.88,1010,83,16-11-2021 17:35
298.38,299.13,298.38,299.88,1010,83,16-11-2021 17:38
298.38,299.13,298.38,299.88,1010,83,16-11-2021 17:41
298.38,299.13,298.38,299.88,1011,83,16-11-2021 17:44
298.38,299.13,298.38,299.88,1011,83,16-11-2021 17:47
298.38,299.13,298.38,299.88,1011,83,16-11-2021 17:50
298.38,299.13,298.38,299.88,1011,83,16-11-2021 17:53
298.38,299.13,298.38,299.88,1011,83,16-11-2021 17:56
298.38,299.13,298.38,298.88,1011,83,16-11-2021 17:59
298.38,299.13,298.38,298.88,1011,83,16-11-2021 18:02
298.38,299.13,298.38,298.88,1011,83,16-11-2021 18:05
298.38,299.13,298.38,298.88,1011,83,16-11-2021 18:08
298.38,299.13,298.38,298.88,1011,83,16-11-2021 18:11
298.38,299.13,298.38,298.88,1011,83,16-11-2021 18:14
298.38,299.13,298.38,298.88,1011,83,16-11-2021 18:17
298.38,299.13,298.38,298.88,1011,83,16-11-2021 18:20
298.38,299.13,298.38,298.88,1012,83,16-11-2021 18:23
298.38,299.13,298.38,298.88,1012,83,16-11-2021 18:26
298.38,299.13,298.38,298.88,1012,83,16-11-2021 18:29
298.38,299.13,298.38,298.88,1012,83,16-11-2021 18:32
298.38,299.13,298.38,298.88,1012,83,16-11-2021 18:35
298.38,299.13,298.38,298.88,1012,83,16-11-2021 18:38
298.38,299.13,298.38,298.88,1012,83,16-11-2021 18:38
298.38,299.13,298.38,298.88,1012,83,16-11-2021 18:41
298.38,299.13,298.38,298.88,1012,83,16-11-2021 18:41
298.38,299.13,298.38,298.88,1012,83,16-11-2021 18:44
298.38,299.13,298.38,298.88,1012,83,16-11-2021 18:44
298.38,299.13,298.38,298.88,1012,83,16-11-2021 18:47
298.38,299.13,298.38,298.88,1012,83,16-11-2021 18:47
298.38,299.13,298.38,298.88,1012,83,16-11-2021 18:50
