date,time,close,open,price,volume,value_change,percentage_change
2021-11-18,13:49:05,761.3,764.9,764.75,NA,-0.149999999999977,-0.0196104065890936
2021-11-18,13:52:06,761.3,764.9,764.6,NA,-0.299999999999955,-0.0392208131781873
2021-11-18,13:55:08,761.3,764.9,765.35,NA,0.450000000000045,0.0588312197672958
2021-11-18,13:58:09,761.3,764.9,765.7,NA,0.800000000000068,0.104588835141858
2021-11-18,14:01:10,761.3,764.9,765.4,NA,0.5,0.0653680219636554
2021-11-18,14:04:11,761.3,764.9,764.75,NA,-0.149999999999977,-0.0196104065890936
2021-11-18,14:07:12,761.3,764.9,764.95,NA,0.0500000000000682,0.00653680219637446
2021-11-18,14:10:14,761.3,764.9,764,NA,-0.899999999999977,-0.117662439534577
2021-11-18,14:13:15,761.3,764.9,764.45,NA,-0.449999999999932,-0.0588312197672809
2021-11-18,14:16:16,761.3,764.9,763.75,NA,-1.14999999999998,-0.150346450516404
2021-11-18,14:19:18,761.3,764.9,763.1,NA,-1.79999999999995,-0.235324879069153
2021-11-18,14:22:19,761.3,764.9,762.9,NA,-2,-0.261472087854622
2021-11-18,14:25:20,761.3,764.9,761.45,NA,-3.44999999999993,-0.451039351549213
2021-11-18,14:28:21,761.3,764.9,761.45,NA,-3.44999999999993,-0.451039351549213
2021-11-18,14:31:22,761.3,764.9,761.3,NA,-3.60000000000002,-0.470649758138322
2021-11-18,14:34:24,761.3,764.9,761.45,NA,-3.44999999999993,-0.451039351549213
2021-11-18,14:37:25,761.3,764.9,760.7,NA,-4.19999999999993,-0.549091384494696
2021-11-18,14:40:26,761.3,764.9,760.95,NA,-3.94999999999993,-0.516407373512869
2021-11-18,14:43:27,761.3,764.9,761.65,NA,-3.25,-0.42489214276376
2021-11-18,14:46:28,761.3,764.9,763.1,NA,-1.79999999999995,-0.235324879069153
2021-11-18,14:49:29,761.3,764.9,763,NA,-1.89999999999998,-0.248398483461887
2021-11-18,14:52:30,761.3,764.9,763.45,NA,-1.44999999999993,-0.189567263694592
2021-11-18,14:55:31,761.3,764.9,763.55,NA,-1.35000000000002,-0.176493659301872
2021-11-18,14:58:33,761.3,764.9,765.6,NA,0.700000000000045,0.0915152307491235
2021-11-18,15:01:34,761.3,764.9,765.75,NA,0.850000000000023,0.111125637338217
2021-11-18,15:04:36,761.3,764.9,764,NA,-0.899999999999977,-0.117662439534577
2021-11-18,15:07:36,761.3,764.9,762.8,NA,-2.10000000000002,-0.274545692247356
2021-11-18,15:10:38,761.3,764.9,763.1,NA,-1.79999999999995,-0.235324879069153
2021-11-18,15:13:39,761.3,764.9,762.8,NA,-2.10000000000002,-0.274545692247356
2021-11-18,15:16:40,761.3,764.9,762.9,NA,-2,-0.261472087854622
2021-11-18,15:19:41,761.3,764.9,763.6,NA,-1.29999999999995,-0.169956857105498
2021-11-18,15:22:43,761.3,764.9,763.5,NA,-1.39999999999998,-0.183030461498232
2021-11-18,15:25:44,761.3,764.9,763.35,NA,-1.54999999999995,-0.202640868087326
2021-11-18,15:28:45,761.3,764.9,761.2,NA,-3.69999999999993,-0.483723362531041
2021-11-18,15:31:46,761.3,764.9,762.9,20636635,-2,-0.261472087854622
2021-11-19,10:54:11,761.3,764.9,761.2,20636566,-3.69999999999993,-0.483723362531041
2021-11-23,09:50:29,752,740.95,742.2,NA,1.25,0.168702341588501
2021-11-23,09:52:44,752,740.95,744.05,5734692,3.09999999999991,0.418381807139471
2021-11-23,09:53:38,752,740.95,744.6,5788128,3.64999999999998,0.492610837438421
2021-11-23,09:55:39,752,740.95,744.65,5907865,3.69999999999993,0.499358931101955
2021-11-23,09:57:41,752,740.95,744.55,6056744,3.59999999999991,0.485862743774871
2021-11-23,10:05:21,752,740.95,745.9,6557725,4.94999999999993,0.668061272690456
2021-11-23,10:07:22,752,740.95,746.05,6720863,5.09999999999991,0.688305553681073
2021-11-23,10:09:24,752,740.95,745.95,6817320,5,0.674809366354005
2021-11-23,10:11:25,752,740.95,745.75,7062439,4.79999999999995,0.647816991699839
2021-11-23,10:13:26,752,740.95,743.9,7413612,2.94999999999993,0.398137526148854
2021-11-23,10:15:28,752,740.95,744.9,7687399,3.94999999999993,0.533099399419655
2021-11-23,10:19:29,752,740.95,743.55,8144309,2.59999999999991,0.35090087050407
2021-11-23,10:21:31,752,740.95,743.25,8204938,2.29999999999995,0.310412308522836
2021-11-23,10:23:32,752,740.95,743.95,8317934,3,0.404885619812403
2021-11-23,10:25:34,752,740.95,743.5,8525423,2.54999999999995,0.344152776840536
2021-11-23,10:27:38,752,740.95,743.65,8569334,2.69999999999993,0.364397057831154
2021-11-23,10:29:39,752,740.95,743.35,8606324,2.39999999999998,0.323908495849919
2021-11-23,10:32:11,752,740.95,744.2,8799791,3.25,0.438626088130103
2021-11-23,10:34:13,752,740.95,744,8847413,3.04999999999995,0.411633713475937
2021-11-23,10:36:14,752,740.95,743.15,8942211,2.19999999999993,0.296916121195753
2021-11-23,10:38:15,752,740.95,743.1,9036866,2.14999999999998,0.290168027532219
2021-11-23,10:40:16,752,740.95,743.75,9084122,2.79999999999995,0.377893245158237
2021-11-23,10:42:18,752,740.95,744.4,9152902,3.44999999999993,0.465618462784254
