date,time,open,curr_price,prev_close,vol
17-11-2021,12:02:04,134,136,134.3,8650039
17-11-2021,12:07:04,134,136.1,134.3,8879418
17-11-2021,12:12:04,134,136.05,134.3,8917350
17-11-2021,12:17:04,134,136.1,134.3,9007874
17-11-2021,12:22:04,134,136.2,134.3,9063331
17-11-2021,12:27:04,134,136.05,134.3,9116360
17-11-2021,12:28:52,134,136.05,134.3,9135034
17-11-2021,12:30:27,134,136,134.3,9155222
17-11-2021,12:32:04,134,136,134.3,9165853
17-11-2021,12:34:45,134,136.05,134.3,9177284
17-11-2021,12:37:04,134,136.1,134.3,9193125
17-11-2021,12:38:52,134,136.05,134.3,9197437
17-11-2021,12:40:27,134,136.15,134.3,9205707
17-11-2021,12:42:03,134,136.15,134.3,9216391
17-11-2021,12:44:46,134,136.05,134.3,9227695
17-11-2021,12:47:05,134,136.1,134.3,9255211
17-11-2021,12:48:52,134,136.05,134.3,9264071
17-11-2021,12:50:26,134,136.1,134.3,9270688
17-11-2021,12:52:03,134,136.05,134.3,9287443
17-11-2021,12:54:46,134,136.1,134.3,9305831
17-11-2021,12:57:03,134,136.1,134.3,9311594
17-11-2021,12:58:52,134,136.2,134.3,9390206
17-11-2021,13:00:26,134,136.2,134.3,9397912
17-11-2021,13:02:04,134,136.25,134.3,9412178
17-11-2021,13:04:46,134,136.65,134.3,9527187
17-11-2021,13:07:04,134,136.55,134.3,9566205
17-11-2021,13:08:52,134,136.3,134.3,9627402
17-11-2021,13:10:26,134,136.4,134.3,9685044
17-11-2021,13:12:04,134,136.45,134.3,9740385
17-11-2021,13:14:46,134,136.55,134.3,9764112
17-11-2021,13:17:04,134,136.5,134.3,9781898
17-11-2021,13:18:52,134,136.35,134.3,9820244
17-11-2021,13:20:27,134,136.4,134.3,9840866
17-11-2021,13:22:03,134,136.3,134.3,9849952
17-11-2021,13:24:46,134,136.35,134.3,9861479
17-11-2021,13:27:03,134,136.25,134.3,9898121
17-11-2021,13:28:52,134,136.3,134.3,9933693
17-11-2021,13:30:27,134,136.3,134.3,9955474
17-11-2021,13:32:03,134,136.25,134.3,9978257
17-11-2021,13:34:45,134,136.25,134.3,10024175
17-11-2021,13:37:04,134,136.2,134.3,10057950
17-11-2021,13:42:04,134,136.45,134.3,10224207
17-11-2021,13:47:04,134,136.6,134.3,10344816
17-11-2021,13:52:04,134,136.55,134.3,10548347
17-11-2021,13:57:04,134,136.6,134.3,10665938
17-11-2021,14:02:04,134,136.6,134.3,10743320
17-11-2021,14:07:04,134,136.5,134.3,10903404
17-11-2021,14:12:04,134,136.5,134.3,11053422
17-11-2021,14:17:03,134,136.5,134.3,11346161
17-11-2021,14:22:04,134,136.5,134.3,11537800
17-11-2021,14:27:04,134,136.45,134.3,11718835
17-11-2021,14:32:05,134,136.5,134.3,11825438
17-11-2021,14:37:04,134,136.5,134.3,11902818
17-11-2021,14:42:04,134,136.45,134.3,12050812
17-11-2021,14:47:04,134,136.5,134.3,12174664
17-11-2021,14:52:04,134,136.4,134.3,12314252
17-11-2021,14:57:04,134,136.4,134.3,12678949
17-11-2021,15:02:04,134,136.45,134.3,12902237
