Stock_Name,Date_Time,Price,Open,Previous Close,Volume,Value (Lacs),i VWAP,Beta,High,Low
Laurus Labs,12-11-2021 15:41,452.5,462.6,462.2,"39,43,298.00","17,843.42",459.15,0.840.77,472,451.25
Laurus Labs,12-11-2021 16:04,452.45,462.6,462.2,"42,50,163.00","19,229.86",458.63,0.840.77,472,451
Laurus Labs,12-11-2021 16:16,452.45,462.6,462.2,"42,50,872.00","19,233.07",458.63,0.840.77,472,451
Laurus Labs,12-11-2021 16:25,452.45,462.6,462.2,"42,50,872.00","19,233.07",458.63,0.840.77,472,451
Laurus Labs,15-11-2021 10:24,459.75,453,452.45,"7,79,336.00","3,583.00",458.14,0.830.76,463.3,452.3
Laurus Labs,15-11-2021 10:58,464.95,453,452.45,"10,70,117.00","4,975.51",458.72,0.830.76,464.95,452.3
Laurus Labs,15-11-2021 11:09,478.7,453,452.45,"21,82,620.00","10,448.20",467.26,0.830.76,482,452.3
Laurus Labs,15-11-2021 11:21,478.35,453,452.45,"21,93,211.00","10,491.22",467.31,0.830.76,482,452.3
Laurus Labs,15-11-2021 12:14,481.25,453,452.45,"36,31,608.00","17,477.11",473.15,0.830.76,486.75,452.3
Laurus Labs,15-11-2021 12:27,481.45,453,452.45,"38,96,802.00","18,761.15",473.71,0.830.76,486.75,452.3
Laurus Labs,15-11-2021 13:00,481.3,453,452.45,"41,27,471.00","19,865.52",474.03,0.830.76,486.75,452.3
Laurus Labs,15-11-2021 13:11,481.05,453,452.45,"42,42,595.00","20,409.00",474.24,0.830.76,486.75,452.3
Laurus Labs,15-11-2021 13:27,486.1,453,452.45,"47,23,451.00","22,960.70",475.36,0.830.76,487,452.3
Laurus Labs,15-11-2021 14:10,488,453,452.45,"51,94,302.00","25,348.19",476.52,0.830.76,489.75,452.3
Laurus Labs,15-11-2021 14:21,489.5,453,452.45,"53,66,480.00","26,268.92",476.89,0.830.76,489.75,452.3
Laurus Labs,15-11-2021 15:04,491.95,453,452.45,"62,73,250.00","30,861.25",479.03,0.830.76,494.45,452.3
Laurus Labs,15-11-2021 15:17,488.9,453,452.45,"65,51,505.00","32,049.96",479.49,0.830.76,494.45,452.3
Laurus Labs,15-11-2021 15:28,488.9,453,452.45,"65,51,505.00","32,049.96",479.49,0.830.76,494.45,452.3
Laurus Labs,15-11-2021 16:08,491.05,453,452.45,"74,26,686.00","36,468.74",480.85,0.830.76,494.45,452.3
Laurus Labs,15-11-2021 16:19,491.05,453,452.45,"74,26,686.00","36,468.74",480.85,0.830.76,494.45,452.3
Laurus Labs,15-11-2021 16:30,491.05,453,452.45,"74,28,322.00","36,476.78",480.85,0.830.76,494.45,452.3
Laurus Labs,16-11-2021 10:24,488.9,492.7,491.05,"7,96,251.00","3,892.87",486.93,0.830.77,493.25,483.1
Laurus Labs,16-11-2021 10:58,497.25,492.7,491.05,"14,28,692.00","7,104.17",490.71,0.830.77,498.65,483.1
Laurus Labs,16-11-2021 11:09,497.7,492.7,491.05,"16,61,048.00","8,267.04",491.54,0.830.77,498.65,483.1
Laurus Labs,16-11-2021 11:20,497.7,492.7,491.05,"16,61,048.00","8,267.04",491.54,0.830.77,498.65,483.1
Laurus Labs,16-11-2021 12:10,497.6,492.7,491.05,"19,04,079.00","9,474.70",492.13,0.830.77,498.65,483.1
Laurus Labs,16-11-2021 12:23,497.6,492.7,491.05,"19,04,079.00","9,474.70",492.13,0.830.77,498.65,483.1
Laurus Labs,16-11-2021 13:00,494.3,492.7,491.05,"22,55,178.00","11,147.34",492.9,0.830.77,499.5,483.1
Laurus Labs,16-11-2021 13:11,494,492.7,491.05,"22,60,133.00","11,165.06",492.91,0.830.77,499.5,483.1
Laurus Labs,16-11-2021 13:21,493.85,492.7,491.05,"24,27,059.00","11,986.03",492.86,0.830.77,499.5,483.1
Laurus Labs,16-11-2021 14:10,492.2,492.7,491.05,"25,09,716.00","12,352.82",492.87,0.830.77,499.5,483.1
Laurus Labs,16-11-2021 14:21,492.4,492.7,491.05,"25,89,001.00","12,748.24",492.87,0.830.77,499.5,483.1
Laurus Labs,16-11-2021 15:04,492,492.7,491.05,"28,26,934.00","13,908.52",492.7,0.830.77,499.5,483.1
Laurus Labs,16-11-2021 15:17,492.35,492.7,491.05,"29,34,443.00","14,447.73",492.69,0.830.77,499.5,483.1
Laurus Labs,16-11-2021 15:27,492.35,492.7,491.05,"29,34,443.00","14,447.73",492.69,0.830.77,499.5,483.1
Laurus Labs,16-11-2021 16:08,491.5,492.7,491.05,"32,48,113.00","15,964.48",492.57,0.830.77,499.5,483.1
Laurus Labs,16-11-2021 16:19,491.5,492.7,491.05,"32,48,113.00","15,964.48",492.57,0.830.77,499.5,483.1
Laurus Labs,16-11-2021 16:29,491.5,492.7,491.05,"32,48,113.00","15,964.48",492.57,0.830.77,499.5,483.1
Laurus Labs,17-11-2021 10:25,481,491.7,491.5,"7,61,665.00","3,663.61",484.91,0.830.77,493.9,477.25
Laurus Labs,17-11-2021 11:00,485.6,491.7,491.5,"9,76,340.00","4,741.11",484.81,0.830.77,493.9,477.25
Laurus Labs,17-11-2021 11:11,485.6,491.7,491.5,"9,76,340.00","4,741.11",484.81,0.830.77,493.9,477.25
Laurus Labs,17-11-2021 11:22,485.65,491.7,491.5,"10,60,217.00","5,148.94",484.8,0.830.77,493.9,477.25
Laurus Labs,17-11-2021 12:16,485.55,491.7,491.5,"12,17,103.00","5,909.64",484.87,0.830.77,493.9,477.25
Laurus Labs,17-11-2021 12:28,485.55,491.7,491.5,"12,17,103.00","5,909.64",484.87,0.830.77,493.9,477.25
Laurus Labs,17-11-2021 13:01,484.2,491.7,491.5,"14,54,184.00","7,041.16",484.52,0.830.77,493.9,477.25
Laurus Labs,17-11-2021 13:17,484.25,491.7,491.5,"14,54,819.00","7,044.96",484.52,0.830.77,493.9,477.25
Laurus Labs,17-11-2021 13:27,483.7,491.7,491.5,"15,00,223.00","7,256.58",484.51,0.830.77,493.9,477.25
Laurus Labs,17-11-2021 14:10,484.15,491.7,491.5,"15,69,568.00","7,599.06",484.47,0.830.77,493.9,477.25
Laurus Labs,17-11-2021 14:22,483,491.7,491.5,"16,25,369.00","7,850.53",484.45,0.830.77,493.9,477.25
Laurus Labs,17-11-2021 14:32,483,491.7,491.5,"16,25,369.00","7,850.53",484.45,0.830.77,493.9,477.25
Laurus Labs,17-11-2021 15:06,482.45,491.7,491.5,"16,92,811.00","8,166.97",484.43,0.830.77,493.9,477.25
Laurus Labs,17-11-2021 15:18,483.55,491.7,491.5,"17,93,474.00","8,672.34",484.38,0.830.77,493.9,477.25
Laurus Labs,17-11-2021 15:28,483.55,491.7,491.5,"17,93,474.00","8,672.34",484.38,0.830.77,493.9,477.25
Laurus Labs,17-11-2021 16:09,484,491.7,491.5,"19,52,382.00","9,449.53",484.35,0.830.77,493.9,477.25
Laurus Labs,17-11-2021 16:20,484,491.7,491.5,"19,54,843.00","9,461.44",484.35,0.830.77,493.9,477.25
Laurus Labs,17-11-2021 16:30,484,491.7,491.5,"19,54,843.00","9,461.44",484.35,0.830.77,493.9,477.25
Laurus Labs,18-11-2021 09:04,484,491.7,491.5,"19,54,843.00","9,461.44",484.35,0.840.77,493.9,477.25
Laurus Labs,18-11-2021 09:18,484,491.7,491.5,"19,54,843.00","9,461.44",484.35,0.840.77,493.9,477.25
Laurus Labs,18-11-2021 09:30,485,486.5,484,"57,962.00",281.12,485.72,0.840.77,486.5,484
Laurus Labs,18-11-2021 10:24,472.8,486.5,484,"4,37,739.00","2,069.63",479.45,0.840.77,486.5,471.3
Laurus Labs,18-11-2021 10:58,472.65,486.5,484,"5,91,828.00","2,797.28",477.78,0.840.77,486.5,471
Laurus Labs,18-11-2021 11:09,472.65,486.5,484,"5,91,828.00","2,797.28",477.78,0.840.77,486.5,471
Laurus Labs,18-11-2021 11:20,474.85,486.5,484,"6,66,124.00","3,162.76",477.32,0.840.77,486.5,471
Laurus Labs,18-11-2021 11:30,474.85,486.5,484,"6,66,124.00","3,162.76",477.32,0.840.77,486.5,471
Laurus Labs,18-11-2021 12:13,478.7,486.5,484,"8,54,222.00","4,088.31",477.06,0.840.77,486.5,471
Laurus Labs,18-11-2021 12:26,478.7,486.5,484,"8,54,222.00","4,088.31",477.06,0.840.77,486.5,471
Laurus Labs,18-11-2021 12:56,479.75,486.5,484,"9,96,841.00","4,781.85",477.37,0.840.77,486.5,471
Laurus Labs,18-11-2021 13:06,480.25,486.5,484,"10,22,479.00","4,910.46",477.42,0.840.77,486.5,471
Laurus Labs,18-11-2021 13:16,480.55,486.5,484,"10,41,989.00","5,007.28",477.49,0.840.77,486.5,471
Laurus Labs,18-11-2021 13:27,480.8,486.5,484,"10,41,695.00","5,008.47",477.49,0.840.77,486.5,471
Laurus Labs,18-11-2021 14:09,480.95,486.5,484,"11,96,066.00","5,752.48",477.93,0.840.77,486.5,471
Laurus Labs,18-11-2021 14:21,480.95,486.5,484,"11,96,066.00","5,752.48",477.93,0.840.77,486.5,471
Laurus Labs,18-11-2021 15:04,482.6,486.5,484,"13,54,113.00","6,534.95",478.26,0.840.77,486.5,471
